athlete_id,event
1532872,Mens Greco-Roman 97kg
1532873,Mens Greco-Roman 77kg
1532874,Mens Greco-Roman 67kg
1532944,Mens Freestyle 57kg
1532945,Mens Freestyle 65kg
1532951,Womens 20km Race Walk
1532951,Marathon Race Walk Relay Mixed
1533112,Men -60 kg
1533136,Womens 100m
1533136,Womens 200m
1533176,Mens 100m
1533188,Womens Individual
1533189,Womens Individual
1533190,Mens Individual
1533208,Mens 100m
1533209,Womens 50m Freestyle
1533230,Team
1533230,Duet
1533231,Team
1533231,Duet
1533232,Team
1533234,Team
1533235,Team
1533237,Team
1533239,Team
1533240,Team
1533243,Team
1533245,Men -81 kg
1533359,Mens +102kg
1533364,Mens 5000m
1533371,Mens Marathon
1533372,Mens 5000m
1533374,Womens 5000m
1533378,Mens 50m Freestyle
1535180,Mens Kayak Single
1535180,Mens Kayak Cross
1535186,Mens 63.5kg
1535187,Mens 71kg
1535191,Womens 20km Race Walk
1535191,Marathon Race Walk Relay Mixed
1535195,Mens 800m
1535199,Mens High Jump
1535201,Mens Shot Put
1535202,Mens Hammer Throw
1535203,Mens 20km Race Walk
1535212,Womens 400m
1535214,Womens 5000m
1535216,Womens 5000m
1535217,Womens Marathon
1535222,Marathon Race Walk Relay Mixed
1535225,Womens Dinghy
1535226,Womens Windsurfing
1535252,Womens Single Sculls
1535260,Lightweight Mens Double Sculls
1535267,Lightweight Mens Double Sculls
1535310,Women
1535310,Womens All-Around
1535310,Womens Balance Beam
1535310,Womens Floor Exercise
1535310,Womens Uneven Bars
1535310,Womens Vault
1535343,Mens 10m Platform
1535343,Mens Synchronised 10m Platform
1535345,Mens 10m Platform
1535345,Mens Synchronised 10m Platform
1535346,Womens 10m Platform
1535346,Womens Synchronised 10m Platform
1535348,Womens 10m Platform
1535348,Womens Synchronised 10m Platform
1535349,Mens 3m Springboard
1535349,Mens Synchronised 3m Springboard
1535350,Jumping Individual
1535350,Jumping Team
1535351,Jumping Individual
1535351,Jumping Team
1535354,Mens 100m Breaststroke
1535354,Mens 200m Breaststroke
1535356,Women
1535356,Womens All-Around
1535356,Womens Balance Beam
1535356,Womens Floor Exercise
1535356,Womens Uneven Bars
1535356,Womens Vault
1535357,Women
1535357,Womens All-Around
1535357,Womens Balance Beam
1535357,Womens Floor Exercise
1535357,Womens Uneven Bars
1535357,Womens Vault
1535358,Group All-Around
1535359,Group All-Around
1535360,Group All-Around
1535361,Group All-Around
1535362,Group All-Around
1535363,Mens Individual
1535364,Mens Individual
1535365,Womens Individual
1535366,Men +80kg
1535367,Women -49kg
1535368,Men
1535373,Men -90 kg
1535374,Men -100 kg
1535375,Men +100 kg
1535376,Men -81 kg
1535383,Women -52 kg
1535385,Men -73 kg
1535395,Womens Road Race
1535420,Womens Individual
1535420,Womens Team
1535420,Mixed Team
1535429,Womens Individual
1535429,Womens Team
1535430,Mens Individual
1535430,Mens Team
1535430,Mixed Team
1535433,Womens Road Race
1535438,10m Air Rifle Men
1535438,10m Air Rifle Mixed Team
1535439,Skeet Women
1535440,10m Air Pistol Women
1535440,25m Pistol Women
