athlete_id,medal_date,medal_code,event_id,country_id,name,birth_date,gender,height,weight,education,country,disciplines,Gold Medal,Silver Medal,Bronze Medal,Total
1532872,2024-08-07,2.0,Men's Greco-Roman 97kg,ARM,Artur ALEKSANYAN,1991-10-21,Male,0.0,0.0,"Graduated from Shirak State University (Gyumri, ARM)",Armenia,Wrestling,0,3,1,4
1532873,2024-08-07,3.0,Men's Greco-Roman 77kg,ARM,Malkhas AMOYAN,1999-01-22,Male,0.0,0.0,"",Armenia,Wrestling,0,3,1,4
1535187,2024-08-09,2.0,Men's 71kg,MEX,Marco Alonso VERDE ALVAREZ,2002-02-11,Male,180.0,0.0,"",Mexico,Boxing,0,3,2,5
1535349,2024-08-08,3.0,Men's 3m Springboard,MEX,Osmar OLVERA IBARRA,2004-06-05,Male,0.0,0.0,"",Mexico,Diving,0,3,2,5
1535349,2024-08-02,2.0,Men's Synchronised 3m Springboard,MEX,Osmar OLVERA IBARRA,2004-06-05,Male,0.0,0.0,"",Mexico,Diving,0,3,2,5
1535420,2024-07-28,3.0,Women's Team,MEX,Alejandra VALENCIA,1994-10-17,Female,0.0,0.0,Studied Graphic Design at the University of Sonora (MEX),Mexico,Archery,0,3,2,5
1535429,2024-07-28,3.0,Women's Team,MEX,Angela RUIZ,2006-07-28,Female,0.0,0.0,"",Mexico,Archery,0,3,2,5
1535513,2024-08-11,3.0,Women's Freestyle 76kg,COL,Tatiana RENTERIA RENTERIA,2000-12-22,Female,0.0,0.0,"",Colombia,Wrestling,0,3,1,4
1535852,2024-08-09,3.0,Men's Kite,SGP,Maximilian MAEDER,2006-09-12,Male,0.0,0.0,Home-schooled. British kiteboarder Jemima Crathorne has been his STEM tutor,Singapore,Sailing,0,0,1,1
1536045,2024-08-10,1.0,Men +80kg,IRI,Arian SALIMI,2003-12-16,Male,0.0,0.0,"",IR Iran,Taekwondo,3,6,3,12
1536058,2024-08-09,2.0,Men -80kg,IRI,Mehran BARKHORDARI,2000-07-26,Male,0.0,0.0,"",IR Iran,Taekwondo,3,6,3,12
1536064,2024-08-07,3.0,Women -49kg,IRI,Mobina NEMATZADEH,2005-05-17,Female,0.0,0.0,"",IR Iran,Taekwondo,3,6,3,12
1536067,2024-08-08,2.0,Women -57kg,IRI,Nahid KIYANICHANDEH,1998-08-01,Female,0.0,0.0,"",IR Iran,Taekwondo,3,6,3,12
1536197,2024-08-02,2.0,Men's Synchronised 3m Springboard,MEX,Juan Manuel CELAYA HERNANDEZ,1998-09-01,Male,0.0,0.0,"Studied Civil Engineering at Louisiana State University (Baton Rouge, LA, USA)",Mexico,Diving,0,3,2,5
1536479,2024-07-28,3.0,Women's Team,MEX,Ana VAZQUEZ,2000-10-05,Female,0.0,0.0,"Studies Biomedical Engineering at the Autonomous University of Nuevo Leon (San Nicolas de los Garza, MEX)",Mexico,Archery,0,3,2,5
1536498,2024-08-05,2.0,Women's 800m,ETH,Tsige DUGUMA,2001-02-23,Female,164.0,0.0,"",Ethiopia,Athletics,1,3,0,4
1536885,2024-08-03,2.0,Women's Triple Jump,JAM,Shanieka RICKETTS,1992-02-02,Female,188.0,0.0,"Graduated in 2014 with a Bachelor's degree in Economics from San Diego State University, CA (USA)",Jamaica,Athletics,1,3,2,6
1536998,2024-08-02,2.0,"Men's 10,000m",ETH,Berihu AREGAWI,2001-02-28,Male,171.0,0.0,"",Ethiopia,Athletics,1,3,0,4
1537183,2024-08-10,3.0,Women's 100m Hurdles,PUR,Jasmine CAMACHO-QUINN,1996-08-21,Female,160.0,0.0,"Development Studies at University of Kentucky, Lexington, KY (USA)",Puerto Rico,Athletics,0,0,2,2
1537188,2024-08-11,3.0,Men's Freestyle 65kg,PUR,Sebastian C RIVERA,1998-08-27,Male,0.0,0.0,"Attended Rutgers University (New Brunswick, NJ, USA)",Puerto Rico,Wrestling,0,0,2,2
1537287,2024-07-30,2.0,Women -63 kg,MEX,Prisca AWITI ALCARAZ,1996-02-20,Female,0.0,0.0,Sport Studies at Sports Performances at University of Bath (GBR),Mexico,Judo,0,3,2,5
1537325,2024-08-03,1.0,Women's 100m,LCA,Julien ALFRED,2001-06-10,Female,170.0,0.0,"Graduated in 2022 with a degree in Youth & Community Studies from the University of Texas (Austin, TX, USA)",Saint Lucia,Athletics,1,1,0,2
1537325,2024-08-06,2.0,Women's 200m,LCA,Julien ALFRED,2001-06-10,Female,170.0,0.0,"Graduated in 2022 with a degree in Youth & Community Studies from the University of Texas (Austin, TX, USA)",Saint Lucia,Athletics,1,1,0,2
