athlete_id,reason,philosophy
1532872,he followed his father and his uncle into the sport,wrestling is my life
1532873,"",to become a good athlete you first have to be a good person
1532874,"",""
1532944,while doing karate he noticed wrestlers training and decided to give it a try he also tried judo but his father a former wrestler did not allow him to do both so he chose wrestling,nothing is impossible set goals in front of you fight and achieve it
1532945,my family did not like wrestling very much at first i wanted to do boxing but my older friends advised me to go to wrestling training and after a week i started to like the sport,""
1532951,"",""
1533112,i was thrown over an argument about a pokemon card and wanted to learn to throw immediately,""
1533136,i started running when i was in primary school like we have junior championships its where i started running and its where i started to notice that if i work hard i will be a great athlete,if you believe in yourself never be discouraged
1533176,i love running and i was fast a child,what does not kill you makes you stronger
1533188,was a competitive swimmer from age 12 and went on to race internationally in marathon swimming,""
1533189,she always liked running and was involved in swimming so her father encouraged her to try triathlon when i started practising it i realised that i liked it more than just swimming it was more dynamic more entertaining i had always had the idea of dedicating myself to this and seeking to qualify for the olympic games,""
1533190,both his parents ran marathons at age five his father used to take him to run alongside him four years later he took part in his first triathlon i considered it a complete and dynamic sport,in triathlon the body is pushed to the limit you close your eyes and see a tunnel with a light at the end and the body is sustained only by the objective of reaching the goal
1533208,started training in athletics to improve his cardio for football he eventually turned his focus to athletics after his football coach told his players they should play for league relegation in 2015 it was unthinkable for me to play to lose,""
1533209,recruited into the comoros swimming federation after her first competition,""
1533230,began artistic swimming to combat her hyperactivity and found it was a good way to express herself at age 12 she was inspired to greatness by the mexican team at the 2003 world championships in barcelona i am an example that you can get where you want with attitude and not exactly with aptitude i was not a star child nor did i demonstrate the qualities to do this sport when i was little,let everything you do be guided by your passion and conviction to reach a goal no matter how difficult it may seem
1533231,her parents enrolled her in sporting activities such as athletics basketball and swimming during swimming lessons she discovered artistic swimming and was hooked after feeling disappointed that she was not improving however she went back to athletics and took part in a junior national competition a former coach encouraged her to return to artistic swimming and at age 14 she decided to focus on it fulltime during a competition in oaxtepec mexico the first team was doing an exhibition and i was told they represented the national team i said does that really exist and at that moment i wanted to be on that team and to represent mexico,""
1533232,followed her sister into artistic swimming,""
1533234,"",""
1533235,trained in swimming since she was a young child and started artistic swimming after she was intrigued watching a practice one day,""
1533237,"",""
1533239,"",""
1533240,her mother enrolled her in swimming lessons because she herself did not know how to swim and worried for her children at the beach when rubio was a strong enough swimmer her mother was given a choice between the aquatic sports and she picked artistic swimming,be brave
1533243,"",""
1533245,"",""
1533359,"",""
1533364,attended a primary school located three kilometres from his home which helped build his endurance was spotted in middle school during sports classes and got selected to join the sportstudy training programme in alisabieh,""
1533371,"",""
1533372,"",""
1533374,"",""
1533378,"",""
1535180,was introduced to canoeing by his cousin a member of the club de canoekayak de clisson in loireatlantique,""
1535186,"",""
1535187,played baseball for seven or eight years before following his father manuel into boxing  even though manuel wanted marco to stick with a baseball glove rather than switch to boxing gloves,""
1535191,"",""
1535195,began playing american football at an early age his coach saw he had potential for athletics and advised his family to enrol him in the sport i didnt like it at all i was around eight or nine and i didnt want to go to training because id rather go with my friends to play video games but things changed,quit now and every battle will have been in vain
1535199,"",""
1535201,"",""
1535202,i did not understand the link between american football and hammer throw but i started to train my coach made me love this uncommon specialty  i decided to stay when i weighed up my options i knew that to get into the nfl  many things were needed and they did not depend on my physical capacity this one  is an individual sport and the responsibility is mine i have control over my results,""
1535203,"",""
1535212,she decided to pursue a career in the sport after serving as a volunteer at the athletics competition of the 2011 pan american games in guadalajara mexico i carried the athletes belongings and i admired them it was so exciting they inspired me to keep going in my sport,its worth fighting for your dreams because thats how you show yourself that you can accomplish everything you want
1535214,"",be courageous and openminded when trying to meet your goals and dreams the only thing that is impossible is that which you never try
1535216,"",""
1535217,"",""
1535222,practiced taekwondo in his youth at the age of 11 he and his brothers were invited to an athletic race there they were approached by a coach named fernando infante who suggested they join a summer training program and introduced them to race walking,""
1535225,her parents and grandfather sail sailing is a tough sport because it pits you against nature you suddenly find yourself in the middle of the bay far away from land and you have only water surrounding you being able to finish the competition to say wow i did it is something that motivates me most because of the toughness of the situation i think its an incredible experience,trust the process
1535226,to follow after her mother who was also involved in sailing went to her first world championship at age 14 which reinforced her liking to the sport it is a sport that is done outdoors in the sea the wind it is a sport where you feel the adrenaline,""
