country_id,name,medal_date,gender,medal_code,athlete_id,event_id
BEL,EVENEPOEL Remco,2024-07-27,Male,1.0,1903136,Men's Individual Time Trial
ITA,GANNA Filippo,2024-07-27,Male,2.0,1923520,Men's Individual Time Trial
BEL,van AERT Wout,2024-07-27,Male,3.0,1903147,Men's Individual Time Trial
AUS,BROWN Grace,2024-07-27,Female,1.0,1940173,Women's Individual Time Trial
GBR,HENDERSON Anna,2024-07-27,Female,2.0,1912525,Women's Individual Time Trial
USA,DYGERT Chloe,2024-07-27,Female,3.0,1955079,Women's Individual Time Trial
KOR,OH Sanguk,2024-07-27,Male,1.0,1927149,Men's Sabre Individual
TUN,FERJANI Fares,2024-07-27,Male,2.0,1937783,Men's Sabre Individual
ITA,SAMELE Luigi,2024-07-27,Male,3.0,1924595,Men's Sabre Individual
HKG,KONG Man Wai Vivian,2024-07-27,Female,1.0,1963262,Women's Épée Individual
FRA,MALLO-BRETON Auriane,2024-07-27,Female,2.0,1916183,Women's Épée Individual
HUN,MUHARI Eszter,2024-07-27,Female,3.0,1946375,Women's Épée Individual
KAZ,SMETOV Yeldos,2024-07-27,Male,1.0,1935408,Men -60 kg
FRA,MKHEIDZE Luka,2024-07-27,Male,2.0,1891304,Men -60 kg
JPN,NAGAYAMA Ryuju,2024-07-27,Male,3.0,1896752,Men -60 kg
ESP,GARRIGOS Francisco,2024-07-27,Male,3.0,1563544,Men -60 kg
JPN,TSUNODA Natsumi,2024-07-27,Female,1.0,1896735,Women -48 kg
MGL,BAVUUDORJ Baasankhuu,2024-07-27,Female,2.0,1914467,Women -48 kg
FRA,BOUKLI Shirine,2024-07-27,Female,3.0,1891280,Women -48 kg
SWE,BABULFATH Tara,2024-07-27,Female,3.0,1571911,Women -48 kg
GER,MAERTENS Lukas,2024-07-27,Male,1.0,1907192,Men's 400m Freestyle
AUS,WINNINGTON Elijah,2024-07-27,Male,2.0,1946172,Men's 400m Freestyle
KOR,KIM Woomin,2024-07-27,Male,3.0,4654306,Men's 400m Freestyle
AUS,TITMUS Ariarne,2024-07-27,Female,1.0,1946150,Women's 400m Freestyle
CAN,McINTOSH Summer,2024-07-27,Female,2.0,1967140,Women's 400m Freestyle
USA,LEDECKY Katie,2024-07-27,Female,3.0,1935938,Women's 400m Freestyle
AUS,FOX Jessica,2024-07-28,Female,1.0,1940205,Women's Kayak Single
POL,ZWOLINSKA Klaudia,2024-07-28,Female,2.0,1942126,Women's Kayak Single
GBR,WOODS Kimberley,2024-07-28,Female,3.0,1896045,Women's Kayak Single
FRA,FERRAND PREVOT Pauline,2024-07-28,Female,1.0,1895672,Women's Cross-country
USA,BATTEN Haley,2024-07-28,Female,2.0,1955070,Women's Cross-country
SWE,RISSVEDS Jenny,2024-07-28,Female,3.0,1564023,Women's Cross-country
JPN,KANO Koki,2024-07-28,Male,1.0,1896548,Men's Épée Individual
FRA,BOREL Yannick,2024-07-28,Male,2.0,1916194,Men's Épée Individual
EGY,ELSAYED Mohamed,2024-07-28,Male,3.0,1936462,Men's Épée Individual
USA,KIEFER Lee,2024-07-28,Female,1.0,1950611,Women's Foil Individual
