athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,education,Gold Medal,Silver Medal,Bronze Medal,Total
1532872,2024-08-07,Silver Medal,Wrestling,Armenia,Artur ALEKSANYAN,1991-10-21,Male,0.0,0.0,"Graduated from Shirak State University (Gyumri, ARM)",0,3,1,4
1532873,2024-08-07,Bronze Medal,Wrestling,Armenia,Malkhas AMOYAN,1999-01-22,Male,0.0,0.0,"",0,3,1,4
1535187,2024-08-09,Silver Medal,Boxing,Mexico,Marco Alonso VERDE ALVAREZ,2002-02-11,Male,180.0,0.0,"",0,3,2,5
1535349,2024-08-08,Bronze Medal,Diving,Mexico,Osmar OLVERA IBARRA,2004-06-05,Male,0.0,0.0,"",0,3,2,5
1535349,2024-08-02,Silver Medal,Diving,Mexico,Osmar OLVERA IBARRA,2004-06-05,Male,0.0,0.0,"",0,3,2,5
1535420,2024-07-28,Bronze Medal,Archery,Mexico,Alejandra VALENCIA,1994-10-17,Female,0.0,0.0,Studied Graphic Design at the University of Sonora (MEX),0,3,2,5
1535429,2024-07-28,Bronze Medal,Archery,Mexico,Angela RUIZ,2006-07-28,Female,0.0,0.0,"",0,3,2,5
1535513,2024-08-11,Bronze Medal,Wrestling,Colombia,Tatiana RENTERIA RENTERIA,2000-12-22,Female,0.0,0.0,"",0,3,1,4
1535852,2024-08-09,Bronze Medal,Sailing,Singapore,Maximilian MAEDER,2006-09-12,Male,0.0,0.0,Home-schooled. British kiteboarder Jemima Crathorne has been his STEM tutor,0,0,1,1
1536045,2024-08-10,Gold Medal,Taekwondo,IR Iran,Arian SALIMI,2003-12-16,Male,0.0,0.0,"",3,6,3,12
1536058,2024-08-09,Silver Medal,Taekwondo,IR Iran,Mehran BARKHORDARI,2000-07-26,Male,0.0,0.0,"",3,6,3,12
1536064,2024-08-07,Bronze Medal,Taekwondo,IR Iran,Mobina NEMATZADEH,2005-05-17,Female,0.0,0.0,"",3,6,3,12
1536067,2024-08-08,Silver Medal,Taekwondo,IR Iran,Nahid KIYANICHANDEH,1998-08-01,Female,0.0,0.0,"",3,6,3,12
1536197,2024-08-02,Silver Medal,Diving,Mexico,Juan Manuel CELAYA HERNANDEZ,1998-09-01,Male,0.0,0.0,"Studied Civil Engineering at Louisiana State University (Baton Rouge, LA, USA)",0,3,2,5
1536479,2024-07-28,Bronze Medal,Archery,Mexico,Ana VAZQUEZ,2000-10-05,Female,0.0,0.0,"Studies Biomedical Engineering at the Autonomous University of Nuevo Leon (San Nicolas de los Garza, MEX)",0,3,2,5
1536498,2024-08-05,Silver Medal,Athletics,Ethiopia,Tsige DUGUMA,2001-02-23,Female,164.0,0.0,"",1,3,0,4
1536885,2024-08-03,Silver Medal,Athletics,Jamaica,Shanieka RICKETTS,1992-02-02,Female,188.0,0.0,"Graduated in 2014 with a Bachelor's degree in Economics from San Diego State University, CA (USA)",1,3,2,6
1536998,2024-08-02,Silver Medal,Athletics,Ethiopia,Berihu AREGAWI,2001-02-28,Male,171.0,0.0,"",1,3,0,4
1537183,2024-08-10,Bronze Medal,Athletics,Puerto Rico,Jasmine CAMACHO-QUINN,1996-08-21,Female,160.0,0.0,"Development Studies at University of Kentucky, Lexington, KY (USA)",0,0,2,2
1537188,2024-08-11,Bronze Medal,Wrestling,Puerto Rico,Sebastian C RIVERA,1998-08-27,Male,0.0,0.0,"Attended Rutgers University (New Brunswick, NJ, USA)",0,0,2,2
1537287,2024-07-30,Silver Medal,Judo,Mexico,Prisca AWITI ALCARAZ,1996-02-20,Female,0.0,0.0,Sport Studies at Sports Performances at University of Bath (GBR),0,3,2,5
1537325,2024-08-03,Gold Medal,Athletics,Saint Lucia,Julien ALFRED,2001-06-10,Female,170.0,0.0,"Graduated in 2022 with a degree in Youth & Community Studies from the University of Texas (Austin, TX, USA)",1,1,0,2
1537325,2024-08-06,Silver Medal,Athletics,Saint Lucia,Julien ALFRED,2001-06-10,Female,170.0,0.0,"Graduated in 2022 with a degree in Youth & Community Studies from the University of Texas (Austin, TX, USA)",1,1,0,2
1537401,2024-08-08,Silver Medal,Taekwondo,Jordan,Zaid KAREEM,2001-06-19,Male,0.0,0.0,Studies Physical and Health Education at Al-Ahliyya Amman University (JOR),0,1,0,1
1538028,2024-08-08,Silver Medal,Sailing,Argentina,Eugenia BOSCO,1997-06-12,Female,0.0,0.0,"",1,1,1,3
1538041,2024-08-08,Silver Medal,Sailing,Argentina,Mateo MAJDALANI,1994-07-15,Male,0.0,0.0,"",1,1,1,3
1538084,2024-08-01,Bronze Medal,Shooting,India,Swapnil KUSALE,1995-08-06,Male,0.0,0.0,"",0,1,5,6
1538159,2024-07-28,Bronze Medal,Shooting,India,Manu BHAKER,2002-02-18,Female,0.0,0.0,Graduated in 2021 with an Honours degree in Political Science from the University of Delhi (IND). </p><p>Studying Public Administration at Punjab University (IND),0,1,5,6
1538159,2024-07-30,Bronze Medal,Shooting,India,Manu BHAKER,2002-02-18,Female,0.0,0.0,Graduated in 2021 with an Honours degree in Political Science from the University of Delhi (IND). </p><p>Studying Public Administration at Punjab University (IND),0,1,5,6
1538160,2024-08-03,Silver Medal,Rowing,AIN,Yauheni ZALATY,1999-09-09,Male,0.0,0.0,"",1,3,1,5
1538244,2024-08-09,Bronze Medal,Hockey,Argentina,Agustina ALBERTARRIO,1993-01-01,Female,0.0,0.0,"",1,1,1,3
1538253,2024-08-09,Bronze Medal,Hockey,Argentina,Agostina ALONSO,1995-10-01,Female,0.0,0.0,Studied Human Movement at the University Institute of Health Sciences of Barcelo Foundation (ARG),1,1,1,3
1538260,2024-08-09,Bronze Medal,Hockey,Argentina,Maria CAMPOY,1990-10-06,Female,0.0,0.0,"",1,1,1,3
1538261,2024-08-09,Bronze Medal,Hockey,Argentina,Sofia CAIRO,2002-10-08,Female,0.0,0.0,"",1,1,1,3
1538262,2024-08-09,Bronze Medal,Hockey,Argentina,Lara CASAS,2004-06-22,Female,0.0,0.0,"",1,1,1,3
1538263,2024-08-09,Bronze Medal,Hockey,Argentina,Juana CASTELLARO MORELLO,2005-03-29,Female,0.0,0.0,"",1,1,1,3
1538266,2024-08-09,Bronze Medal,Hockey,Argentina,Cristina COSENTINO,1997-12-22,Female,0.0,0.0,"",1,1,1,3
1538274,2024-08-09,Bronze Medal,Hockey,Argentina,Agustina GORZELANY,1996-03-11,Female,0.0,0.0,Attended the University of Buenos Aires (ARG),1,1,1,3
1538276,2024-08-09,Bronze Medal,Hockey,Argentina,Maria GRANATTO,1995-04-21,Female,0.0,0.0,Studied Physical Education at the National University of La Plata (ARG),1,1,1,3
1538277,2024-08-09,Bronze Medal,Hockey,Argentina,Julieta JANKUNAS,1999-01-20,Female,0.0,0.0,"Business Administration, Blas Pascal University, Argentina. Now studying psychology",1,1,1,3
1538294,2024-08-09,Bronze Medal,Hockey,Argentina,Valentina RAPOSO RUIZ de los LLANOS,2003-01-28,Female,0.0,0.0,"Communications, San Martin University, Argentina",1,1,1,3
1538295,2024-08-09,Bronze Medal,Hockey,Argentina,Rocio SANCHEZ MOCCIA,1988-08-02,Female,0.0,0.0,Public Relations. Undertook a course in marketing at the Century 21 University in Argentina,1,1,1,3
1538299,2024-08-09,Bronze Medal,Hockey,Argentina,Victoria SAUZE VALDEZ,1991-07-21,Female,0.0,0.0,Studied Accounting,1,1,1,3
1538304,2024-08-09,Bronze Medal,Hockey,Argentina,Sofia TOCCALINO,1997-03-20,Female,0.0,0.0,"",1,1,1,3
1538305,2024-08-09,Bronze Medal,Hockey,Argentina,Eugenia TRINCHINETTI,1997-07-17,Female,0.0,0.0,"",1,1,1,3
1539969,2024-07-30,Gold Medal,Swimming,Ireland,Daniel WIFFEN,2001-07-14,Male,0.0,0.0,Studies Computer Science at Loughborough University (GBR),4,0,3,7
1539969,2024-08-04,Bronze Medal,Swimming,Ireland,Daniel WIFFEN,2001-07-14,Male,0.0,0.0,Studies Computer Science at Loughborough University (GBR),4,0,3,7
1539986,2024-08-03,Gold Medal,Artistic Gymnastics,Ireland,Rhys MC CLENAGHAN,1999-07-21,Male,0.0,0.0,"Sport Studies at Bangor SERC, Northern Ireland",4,0,3,7
1540305,2024-08-11,Gold Medal,Wrestling,Bahrain,Akhmed TAZHUDINOV,2003-01-25,Male,0.0,0.0,"",2,1,1,4
1540334,2024-08-10,Bronze Medal,Weightlifting,Bahrain,Gor MINASYAN,1994-10-25,Male,0.0,0.0,Studied at Gyumri State Pedagogical Institute (ARM),2,1,1,4
1540353,2024-08-09,Gold Medal,Boxing,Algeria,Imane KHELIF,1999-05-02,Female,178.0,0.0,"",2,0,1,3
1541265,2024-08-03,Bronze Medal,Archery,France,Lisa BARBELIN,2000-04-10,Female,0.0,0.0,"Studies Chemistry at Sorbonne University (Paris, FRA)",16,26,22,64
1541270,2024-07-29,Silver Medal,Archery,France,Baptiste ADDIS,2006-12-07,Male,0.0,0.0,"Studies at the National Institute of Sport and Physical Education (Paris, FRA)",16,26,22,64
1541272,2024-07-29,Silver Medal,Archery,France,Thomas CHIRAULT,1997-09-15,Male,0.0,0.0,"Received a Bachelor's degree in Chemistry in 2019 and is now pursuing a degree in Materials Engineering from the Sorbonne University (Paris, FRA)",16,26,22,64
1541275,2024-07-29,Silver Medal,Archery,France,Jean-Charles VALLADONT,1989-03-20,Male,0.0,0.0,"Studied Commerce at the National Institute of Sport and Physical Education (Paris, FRA)",16,26,22,64
1541614,2024-08-02,Bronze Medal,Badminton,Japan,WATANABE Yuta,1997-06-13,Male,167.0,0.0,"",20,12,13,45
1541619,2024-08-02,Bronze Medal,Badminton,Japan,HIGASHINO Arisa,1996-08-01,Female,160.0,0.0,"",20,12,13,45
1541629,2024-08-03,Bronze Medal,Badminton,Japan,SHIDA Chiharu,1997-04-29,Female,162.0,0.0,"",20,12,13,45
1541630,2024-08-03,Bronze Medal,Badminton,Japan,MATSUYAMA Nami,1998-06-28,Female,166.0,0.0,Graduated in 2018 from Kyushu International University High School (JPN),20,12,13,45
1543015,2024-08-08,Bronze Medal,Hockey,India,Sreejesh PARATTU RAVEENDRAN,1988-05-08,Male,0.0,0.0,"History - Sree Narayana College, Kollam, India",0,1,5,6
1543017,2024-08-08,Bronze Medal,Hockey,India,Harmanpreet SINGH,1996-01-06,Male,0.0,0.0,"Lovely Professional University, Jalandhar, IND",0,1,5,6
1543019,2024-08-08,Bronze Medal,Hockey,India,Jarmanpreet SINGH,1996-07-18,Male,0.0,0.0,"",0,1,5,6
1543020,2024-08-08,Bronze Medal,Hockey,India,Hardik SINGH,1998-09-23,Male,0.0,0.0,"",0,1,5,6
1543021,2024-08-08,Bronze Medal,Hockey,India,Vivek Sagar PRASAD,2000-02-25,Male,0.0,0.0,"",0,1,5,6
1543022,2024-08-08,Bronze Medal,Hockey,India,Mandeep SINGH,1995-01-25,Male,0.0,0.0,"",0,1,5,6
1543024,2024-08-08,Bronze Medal,Hockey,India,Shamsher SINGH,1997-07-29,Male,0.0,0.0,"",0,1,5,6
1543026,2024-08-08,Bronze Medal,Hockey,India,Abhishek ABHISHEK,1999-08-15,Male,0.0,0.0,"",0,1,5,6
1543028,2024-08-08,Bronze Medal,Hockey,India,Lalit Kumar UPADHYAY,1993-12-01,Male,0.0,0.0,"Udai Pratap Autonomous College, Varanasi, IND",0,1,5,6
1543029,2024-08-08,Bronze Medal,Hockey,India,Raj Kumar PAL,1998-05-01,Male,0.0,0.0,"",0,1,5,6
1543030,2024-08-08,Bronze Medal,Hockey,India,Sukhjeet SINGH,1996-12-05,Male,0.0,0.0,"",0,1,5,6
1543031,2024-08-08,Bronze Medal,Hockey,India,Amit ROHIDAS,1993-05-10,Male,0.0,0.0,"Sambalpur University, India",0,1,5,6
1543033,2024-08-08,Bronze Medal,Hockey,India,Gurjant SINGH,1995-01-26,Male,0.0,0.0,"DAV College, Chandigarh, IND",0,1,5,6
1543059,2024-08-08,Bronze Medal,Hockey,India,Manpreet SINGH,1992-06-26,Male,0.0,0.0,"Kurukshetra University, India",0,1,5,6
1543061,2024-08-08,Bronze Medal,Hockey,India,Sanjay SANJAY,2001-05-05,Male,0.0,0.0,"",0,1,5,6
1543064,2024-08-08,Bronze Medal,Hockey,India,Sumit SUMIT,1996-12-20,Male,0.0,0.0,"",0,1,5,6
1543088,2024-08-10,Silver Medal,Wrestling,IR Iran,Amir Hossein ZARE,2001-01-16,Male,0.0,0.0,"",3,6,3,12
1543095,2024-08-11,Bronze Medal,Wrestling,IR Iran,Amirali AZARPIRA,2002-03-26,Male,0.0,0.0,"",3,6,3,12
1543304,2024-07-29,Bronze Medal,Swimming,Ireland,Mona Mc SHARRY,2000-08-21,Female,0.0,0.0,"Studying Kinesiology at University of Tennessee (Knoxville, TN, USA)",4,0,3,7
1543317,2024-08-01,Bronze Medal,Rowing,Ireland,Philip DOYLE,1992-09-17,Male,0.0,0.0,"Graduated in 2018 with a degree in Medicine from Queen's University Belfast (Northern Ireland, GBR)",4,0,3,7
1543322,2024-08-02,Gold Medal,Rowing,Ireland,Fintan Mc CARTHY,1996-11-23,Male,0.0,0.0,Graduated with a Bachelor's degree in Science majoring Physiology from University College Cork (IRL),4,0,3,7
1543506,2024-08-09,Silver Medal,Weightlifting,Colombia,Yeison LOPEZ,1999-09-01,Male,0.0,0.0,"",0,3,1,4
1543509,2024-08-09,Silver Medal,Weightlifting,Colombia,Mari Leivis SANCHEZ,1991-10-08,Female,0.0,0.0,"",0,3,1,4
1543549,2024-07-29,Gold Medal,Swimming,Romania,David POPOVICI,2004-09-15,Male,0.0,0.0,Studying psychology at University of Bucharest (ROU),3,4,2,9
1543549,2024-07-31,Bronze Medal,Swimming,Romania,David POPOVICI,2004-09-15,Male,0.0,0.0,Studying psychology at University of Bucharest (ROU),3,4,2,9
1543963,2024-07-31,Gold Medal,Triathlon,France,Cassandre BEAUGRAND,1997-05-23,Female,0.0,0.0,"Loughborough University, Loughborough (GBR)",16,26,22,64
1543967,2024-07-31,Bronze Medal,Triathlon,France,Leo BERGERE,1996-06-28,Male,0.0,0.0,"",16,26,22,64
1544123,2024-08-06,Bronze Medal,Skateboarding,Great Britain,Sky BROWN,2008-07-07,Female,0.0,0.0,"",14,22,29,65
1544151,2024-08-10,Silver Medal,Artistic Swimming,Great Britain,Kate SHORTMAN,2001-11-19,Female,0.0,0.0,Studies International Management and French at the University of Bath (GBR),14,22,29,65
