medal_date,medal_type,athlete_id,discipline
2024-07-27,Gold Medal,1903136,Cycling Road
2024-07-27,Silver Medal,1923520,Cycling Road
2024-07-27,Bronze Medal,1903147,Cycling Road
2024-07-27,Gold Medal,1940173,Cycling Road
2024-07-27,Silver Medal,1912525,Cycling Road
2024-07-27,Bronze Medal,1955079,Cycling Road
2024-07-27,Gold Medal,1927149,Fencing
2024-07-27,Silver Medal,1937783,Fencing
2024-07-27,Bronze Medal,1924595,Fencing
2024-07-27,Gold Medal,1963262,Fencing
2024-07-27,Silver Medal,1916183,Fencing
2024-07-27,Bronze Medal,1946375,Fencing
2024-07-27,Gold Medal,1935408,Judo
2024-07-27,Silver Medal,1891304,Judo
2024-07-27,Bronze Medal,1896752,Judo
2024-07-27,Bronze Medal,1563544,Judo
2024-07-27,Gold Medal,1896735,Judo
2024-07-27,Silver Medal,1914467,Judo
2024-07-27,Bronze Medal,1891280,Judo
2024-07-27,Bronze Medal,1571911,Judo
2024-07-27,Gold Medal,1907192,Swimming
2024-07-27,Silver Medal,1946172,Swimming
2024-07-27,Bronze Medal,4654306,Swimming
2024-07-27,Gold Medal,1946150,Swimming
2024-07-27,Silver Medal,1967140,Swimming
2024-07-27,Bronze Medal,1935938,Swimming
2024-07-28,Gold Medal,1940205,Canoe Slalom
2024-07-28,Silver Medal,1942126,Canoe Slalom
2024-07-28,Bronze Medal,1896045,Canoe Slalom
2024-07-28,Gold Medal,1895672,Cycling Mountain Bike
2024-07-28,Silver Medal,1955070,Cycling Mountain Bike
2024-07-28,Bronze Medal,1564023,Cycling Mountain Bike
2024-07-28,Gold Medal,1896548,Fencing
2024-07-28,Silver Medal,1916194,Fencing
2024-07-28,Bronze Medal,1936462,Fencing
2024-07-28,Gold Medal,1950611,Fencing
2024-07-28,Silver Medal,1950643,Fencing
2024-07-28,Bronze Medal,1973213,Fencing
2024-07-28,Gold Medal,1896763,Judo
2024-07-28,Silver Medal,1953840,Judo
2024-07-28,Bronze Medal,1935410,Judo
2024-07-28,Bronze Medal,1561138,Judo
2024-07-28,Gold Medal,1566997,Judo
2024-07-28,Silver Medal,1550162,Judo
2024-07-28,Bronze Medal,1953817,Judo
2024-07-28,Bronze Medal,1891283,Judo
2024-07-28,Gold Medal,1913907,Shooting
2024-07-28,Silver Medal,1551388,Shooting
2024-07-28,Bronze Medal,1551387,Shooting
2024-07-28,Gold Medal,1893972,Shooting
2024-07-28,Silver Medal,1893930,Shooting
2024-07-28,Bronze Medal,1538159,Shooting
2024-07-28,Gold Medal,1902055,Skateboarding
2024-07-28,Silver Medal,1902069,Skateboarding
2024-07-28,Bronze Medal,1955689,Skateboarding
2024-07-28,Gold Medal,1925633,Swimming
2024-07-28,Silver Medal,1956469,Swimming
2024-07-28,Silver Medal,1935901,Swimming
2024-07-28,Gold Medal,1909294,Swimming
2024-07-28,Silver Medal,1963635,Swimming
2024-07-28,Bronze Medal,1935903,Swimming
2024-07-28,Gold Medal,1935923,Swimming
2024-07-28,Silver Medal,1935998,Swimming
2024-07-28,Bronze Medal,1945125,Swimming
2024-07-29,Gold Medal,1880479,Canoe Slalom
2024-07-29,Silver Medal,1896030,Canoe Slalom
2024-07-29,Bronze Medal,1961080,Canoe Slalom
2024-07-29,Gold Medal,1912546,Cycling Mountain Bike
2024-07-29,Silver Medal,1895687,Cycling Mountain Bike
2024-07-29,Bronze Medal,1943604,Cycling Mountain Bike
2024-07-29,Gold Medal,1914921,Equestrian
2024-07-29,Silver Medal,1940438,Equestrian
2024-07-29,Bronze Medal,1970898,Equestrian
2024-07-29,Gold Medal,1963245,Fencing
2024-07-29,Silver Medal,1924289,Fencing
2024-07-29,Bronze Medal,1950602,Fencing
2024-07-29,Gold Medal,1916223,Fencing
2024-07-29,Silver Medal,1916222,Fencing
2024-07-29,Bronze Medal,1897644,Fencing
2024-07-29,Gold Medal,1972337,Judo
2024-07-29,Silver Medal,1891311,Judo
2024-07-29,Bronze Medal,1563437,Judo
2024-07-29,Bronze Medal,1896740,Judo
2024-07-29,Gold Medal,1955526,Judo
2024-07-29,Silver Medal,1928067,Judo
2024-07-29,Bronze Medal,1896733,Judo
2024-07-29,Bronze Medal,1891286,Judo
2024-07-29,Gold Medal,1913899,Shooting
2024-07-29,Silver Medal,1572919,Shooting
2024-07-29,Bronze Medal,1888047,Shooting
2024-07-29,Gold Medal,1893845,Shooting
2024-07-29,Silver Medal,1913945,Shooting
2024-07-29,Bronze Medal,1976545,Shooting
2024-07-29,Gold Medal,1902081,Skateboarding
2024-07-29,Silver Medal,1944226,Skateboarding
2024-07-29,Bronze Medal,1944232,Skateboarding
2024-07-29,Gold Medal,1925635,Swimming
2024-07-29,Silver Medal,1945132,Swimming
2024-07-29,Bronze Medal,1935957,Swimming
2024-07-29,Gold Medal,1543549,Swimming
2024-07-29,Silver Medal,1903617,Swimming
2024-07-29,Bronze Medal,1935918,Swimming
2024-07-29,Gold Medal,1962589,Swimming
2024-07-29,Silver Medal,1945200,Swimming
2024-07-29,Bronze Medal,1543304,Swimming
2024-07-29,Gold Medal,1946218,Swimming
2024-07-29,Silver Medal,1946150,Swimming
2024-07-29,Bronze Medal,1925125,Swimming
2024-07-29,Gold Medal,1967140,Swimming
2024-07-29,Silver Medal,1935909,Swimming
2024-07-29,Bronze Medal,1936001,Swimming
2024-07-30,Gold Medal,1896765,Judo
2024-07-30,Silver Medal,1546651,Judo
2024-07-30,Bronze Medal,1928079,Judo
2024-07-30,Bronze Medal,1570561,Judo
2024-07-30,Gold Medal,1980833,Judo
2024-07-30,Silver Medal,1537287,Judo
2024-07-30,Bronze Medal,1891289,Judo
2024-07-30,Bronze Medal,1550167,Judo
2024-07-30,Gold Medal,1904430,Shooting
2024-07-30,Silver Medal,1913928,Shooting
2024-07-30,Bronze Medal,1958970,Shooting
2024-07-30,Gold Medal,1539969,Swimming
2024-07-30,Silver Medal,1935902,Swimming
2024-07-30,Bronze Medal,1925630,Swimming
2024-07-30,Gold Medal,1946198,Swimming
2024-07-30,Silver Medal,1935984,Swimming
2024-07-30,Bronze Medal,1935873,Swimming
2024-07-31,Gold Medal,1919480,Artistic Gymnastics
2024-07-31,Silver Medal,1918864,Artistic Gymnastics
2024-07-31,Bronze Medal,1918860,Artistic Gymnastics
2024-07-31,Gold Medal,1940205,Canoe Slalom
2024-07-31,Silver Medal,1913770,Canoe Slalom
2024-07-31,Bronze Medal,1955132,Canoe Slalom
2024-07-31,Gold Medal,1916809,Cycling BMX Freestyle
2024-07-31,Silver Medal,1912548,Cycling BMX Freestyle
2024-07-31,Bronze Medal,1895685,Cycling BMX Freestyle
2024-07-31,Gold Medal,1920569,Cycling BMX Freestyle
2024-07-31,Silver Medal,1955071,Cycling BMX Freestyle
2024-07-31,Bronze Medal,1940118,Cycling BMX Freestyle
2024-07-31,Gold Medal,1548817,Judo
2024-07-31,Silver Medal,1896750,Judo
2024-07-31,Bronze Medal,1891318,Judo
2024-07-31,Bronze Medal,1961318,Judo
2024-07-31,Gold Medal,1898499,Judo
2024-07-31,Silver Medal,1563082,Judo
2024-07-31,Bronze Medal,1566421,Judo
2024-07-31,Bronze Medal,1903248,Judo
