athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,gold_medal,silver_medal,bronze_medal,total
1532872,8/7/2024,Silver Medal,Wrestling,Armenia,Artur ALEKSANYAN,10/21/1991,Male,0,0,0,3,1,4
1532873,8/7/2024,Bronze Medal,Wrestling,Armenia,Malkhas AMOYAN,1/22/1999,Male,0,0,0,3,1,4
1535187,8/9/2024,Silver Medal,Boxing,Mexico,Marco Alonso VERDE ALVAREZ,2/11/2002,Male,180,0,0,3,2,5
1535349,8/8/2024,Bronze Medal,Diving,Mexico,Osmar OLVERA IBARRA,6/5/2004,Male,0,0,0,3,2,5
1535349,8/2/2024,Silver Medal,Diving,Mexico,Osmar OLVERA IBARRA,6/5/2004,Male,0,0,0,3,2,5
1535420,7/28/2024,Bronze Medal,Archery,Mexico,Alejandra VALENCIA,10/17/1994,Female,0,0,0,3,2,5
1535429,7/28/2024,Bronze Medal,Archery,Mexico,Angela RUIZ,7/28/2006,Female,0,0,0,3,2,5
1535513,8/11/2024,Bronze Medal,Wrestling,Colombia,Tatiana RENTERIA RENTERIA,12/22/2000,Female,0,0,0,3,1,4
1535852,8/9/2024,Bronze Medal,Sailing,Singapore,Maximilian MAEDER,9/12/2006,Male,0,0,0,0,1,1
1536045,8/10/2024,Gold Medal,Taekwondo,IR Iran,Arian SALIMI,12/16/2003,Male,0,0,3,6,3,12
1536058,8/9/2024,Silver Medal,Taekwondo,IR Iran,Mehran BARKHORDARI,7/26/2000,Male,0,0,3,6,3,12
1536064,8/7/2024,Bronze Medal,Taekwondo,IR Iran,Mobina NEMATZADEH,5/17/2005,Female,0,0,3,6,3,12
1536067,8/8/2024,Silver Medal,Taekwondo,IR Iran,Nahid KIYANICHANDEH,8/1/1998,Female,0,0,3,6,3,12
1536197,8/2/2024,Silver Medal,Diving,Mexico,Juan Manuel CELAYA HERNANDEZ,9/1/1998,Male,0,0,0,3,2,5
1536479,7/28/2024,Bronze Medal,Archery,Mexico,Ana VAZQUEZ,10/5/2000,Female,0,0,0,3,2,5
1536498,8/5/2024,Silver Medal,Athletics,Ethiopia,Tsige DUGUMA,2/23/2001,Female,164,0,1,3,0,4
1536885,8/3/2024,Silver Medal,Athletics,Jamaica,Shanieka RICKETTS,2/2/1992,Female,188,0,1,3,2,6
